# Pathway	H9.humann2_Abundance
PWY-7157: eupatolitin 3-O-glucoside biosynthesis|g__Bacteroides.s__Bacteroides_eggerthii	1.8811515684
PWY-7157: eupatolitin 3-O-glucoside biosynthesis|g__Prevotella.s__Prevotella_timonensis	1.6103059581
PWY-7157: eupatolitin 3-O-glucoside biosynthesis|g__Rothia.s__Rothia_mucilaginosa	1.5576323988
PWY-7157: eupatolitin 3-O-glucoside biosynthesis|g__Streptococcus.s__Streptococcus_salivarius	1.4716775174
PWY-7157: eupatolitin 3-O-glucoside biosynthesis|g__Lactobacillus.s__Lactobacillus_gasseri	1.4445800858
PWY-7157: eupatolitin 3-O-glucoside biosynthesis|g__Bacteroides.s__Bacteroides_uniformis	1.3461756988
PWY-7157: eupatolitin 3-O-glucoside biosynthesis|g__Acinetobacter.s__Acinetobacter_ursingii	1.1614401858
PWY-7157: eupatolitin 3-O-glucoside biosynthesis|g__Acinetobacter.s__Acinetobacter_johnsonii	1.1074197121
PWY-7157: eupatolitin 3-O-glucoside biosynthesis|g__Blautia.s__Ruminococcus_torques	1.0449320794
PWY-7157: eupatolitin 3-O-glucoside biosynthesis|g__Malassezia.s__Malassezia_globosa	0.9803921569
PWY-7157: eupatolitin 3-O-glucoside biosynthesis|g__Corynebacterium.s__Corynebacterium_kroppenstedtii	0.7698229407
PWY-7157: eupatolitin 3-O-glucoside biosynthesis|g__Methylobacterium.s__Methylobacterium_populi	0.7610350076
PWY-7157: eupatolitin 3-O-glucoside biosynthesis|g__Bacteroides.s__Bacteroides_vulgatus	0.6361323155
PWY-6973: dTDP-D-olivose, dTDP-D-oliose and dTDP-D-mycarose biosynthesis	270.6947560993
PWY-6973: dTDP-D-olivose, dTDP-D-oliose and dTDP-D-mycarose biosynthesis|unclassified	90.6520215147
PWY-6973: dTDP-D-olivose, dTDP-D-oliose and dTDP-D-mycarose biosynthesis|g__Enhydrobacter.s__Enhydrobacter_aerosaccus	17.1126697402
PWY-6973: dTDP-D-olivose, dTDP-D-oliose and dTDP-D-mycarose biosynthesis|g__Staphylococcus.s__Staphylococcus_epidermidis	16.4313791890
PWY-6973: dTDP-D-olivose, dTDP-D-oliose and dTDP-D-mycarose biosynthesis|g__Propionibacterium.s__Propionibacterium_acnes	13.8705070303
PWY-6973: dTDP-D-olivose, dTDP-D-oliose and dTDP-D-mycarose biosynthesis|g__Staphylococcus.s__Staphylococcus_hominis	12.6939577276
PWY-6973: dTDP-D-olivose, dTDP-D-oliose and dTDP-D-mycarose biosynthesis|g__Gordonia.s__Gordonia_otitidis	7.2298433040
PWY-6973: dTDP-D-olivose, dTDP-D-oliose and dTDP-D-mycarose biosynthesis|g__Methylobacterium.s__Methylobacterium_extorquens	6.9887436451
PWY-6973: dTDP-D-olivose, dTDP-D-oliose and dTDP-D-mycarose biosynthesis|g__Corynebacterium.s__Corynebacterium_pseudogenitalium	6.9245395871
PWY-6973: dTDP-D-olivose, dTDP-D-oliose and dTDP-D-mycarose biosynthesis|g__Corynebacterium.s__Corynebacterium_tuberculostearicum	6.0590989794
PWY-6973: dTDP-D-olivose, dTDP-D-oliose and dTDP-D-mycarose biosynthesis|g__Acinetobacter.s__Acinetobacter_pittii_calcoaceticus_nosocomialis	5.5755991389
PWY-6973: dTDP-D-olivose, dTDP-D-oliose and dTDP-D-mycarose biosynthesis|g__Pseudomonas.s__Pseudomonas_putida	5.1205879089
PWY-6973: dTDP-D-olivose, dTDP-D-oliose and dTDP-D-mycarose biosynthesis|g__Acinetobacter.s__Acinetobacter_johnsonii	3.6059804702
PWY-6973: dTDP-D-olivose, dTDP-D-oliose and dTDP-D-mycarose biosynthesis|g__Collinsella.s__Collinsella_aerofaciens	3.2679738562
PWY-6973: dTDP-D-olivose, dTDP-D-oliose and dTDP-D-mycarose biosynthesis|g__Staphylococcus.s__Staphylococcus_caprae_capitis	3.2327586207
PWY-6973: dTDP-D-olivose, dTDP-D-oliose and dTDP-D-mycarose biosynthesis|g__Gardnerella.s__Gardnerella_vaginalis	2.9350051334
PWY-6973: dTDP-D-olivose, dTDP-D-oliose and dTDP-D-mycarose biosynthesis|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	2.6315789474
PWY-6973: dTDP-D-olivose, dTDP-D-oliose and dTDP-D-mycarose biosynthesis|g__Stenotrophomonas.s__Stenotrophomonas_maltophilia	2.3737035429
PWY-6973: dTDP-D-olivose, dTDP-D-oliose and dTDP-D-mycarose biosynthesis|g__Eubacterium.s__Eubacterium_rectale	1.8446923534
PWY-6973: dTDP-D-olivose, dTDP-D-oliose and dTDP-D-mycarose biosynthesis|g__Corynebacterium.s__Corynebacterium_amycolatum	1.8104363311
PWY-6973: dTDP-D-olivose, dTDP-D-oliose and dTDP-D-mycarose biosynthesis|g__Methyloversatilis.s__Methyloversatilis_universalis	1.5666704052
PWY-6973: dTDP-D-olivose, dTDP-D-oliose and dTDP-D-mycarose biosynthesis|g__Methylobacterium.s__Methylobacterium_populi	1.4847809948
PWY-6973: dTDP-D-olivose, dTDP-D-oliose and dTDP-D-mycarose biosynthesis|g__Staphylococcus.s__Staphylococcus_lugdunensis	1.4607730883
PWY-6973: dTDP-D-olivose, dTDP-D-oliose and dTDP-D-mycarose biosynthesis|g__Peptoniphilus.s__Peptoniphilus_lacrimalis	1.2894906512
PWY-6973: dTDP-D-olivose, dTDP-D-oliose and dTDP-D-mycarose biosynthesis|g__Kocuria.s__Kocuria_rhizophila	1.2308914225
PWY-6973: dTDP-D-olivose, dTDP-D-oliose and dTDP-D-mycarose biosynthesis|g__Blautia.s__Ruminococcus_torques	0.9350163628
PWY-6973: dTDP-D-olivose, dTDP-D-oliose and dTDP-D-mycarose biosynthesis|g__Corynebacterium.s__Corynebacterium_kroppenstedtii	0.9009009009
PWY-6973: dTDP-D-olivose, dTDP-D-oliose and dTDP-D-mycarose biosynthesis|g__Porphyromonas.s__Porphyromonas_asaccharolytica	0.7733952049
PWY-6976: dTDP-L-mycarose biosynthesis	270.6947560993
PWY-6976: dTDP-L-mycarose biosynthesis|unclassified	90.6520215147
PWY-6976: dTDP-L-mycarose biosynthesis|g__Methylobacterium.s__Methylobacterium_extorquens	6.9887436451
PWY-6976: dTDP-L-mycarose biosynthesis|g__Pseudomonas.s__Pseudomonas_putida	5.1205879089
PWY-6976: dTDP-L-mycarose biosynthesis|g__Corynebacterium.s__Corynebacterium_amycolatum	1.7675190177
PWY-6976: dTDP-L-mycarose biosynthesis|g__Eubacterium.s__Eubacterium_rectale	1.3708904885
PWY-7104: dTDP-L-megosamine biosynthesis	270.6947560993
PWY-7104: dTDP-L-megosamine biosynthesis|unclassified	90.6520215147
PWY-7104: dTDP-L-megosamine biosynthesis|g__Propionibacterium.s__Propionibacterium_acnes	13.2768810180
PWY-7104: dTDP-L-megosamine biosynthesis|g__Methylobacterium.s__Methylobacterium_extorquens	6.9887436451
PWY-7104: dTDP-L-megosamine biosynthesis|g__Pseudomonas.s__Pseudomonas_putida	5.1205879089
PWY-7104: dTDP-L-megosamine biosynthesis|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	2.6315789474
PWY-7104: dTDP-L-megosamine biosynthesis|g__Corynebacterium.s__Corynebacterium_amycolatum	1.7648767008
PWY-7104: dTDP-L-megosamine biosynthesis|g__Methylobacterium.s__Methylobacterium_populi	1.5576323988
PWY-7104: dTDP-L-megosamine biosynthesis|g__Eubacterium.s__Eubacterium_rectale	1.5563904495
PWY-7440: dTDP-&beta;-L-4-epi-vancosamine biosynthesis	270.6947560993
PWY-7440: dTDP-&beta;-L-4-epi-vancosamine biosynthesis|unclassified	90.6520215147
PWY-7440: dTDP-&beta;-L-4-epi-vancosamine biosynthesis|g__Enhydrobacter.s__Enhydrobacter_aerosaccus	17.1126697402
PWY-7440: dTDP-&beta;-L-4-epi-vancosamine biosynthesis|g__Staphylococcus.s__Staphylococcus_epidermidis	16.4313791890
PWY-7440: dTDP-&beta;-L-4-epi-vancosamine biosynthesis|g__Propionibacterium.s__Propionibacterium_acnes	13.8705070303
PWY-7440: dTDP-&beta;-L-4-epi-vancosamine biosynthesis|g__Staphylococcus.s__Staphylococcus_hominis	12.6939577276
PWY-7440: dTDP-&beta;-L-4-epi-vancosamine biosynthesis|g__Gordonia.s__Gordonia_otitidis	7.2298433040
PWY-7440: dTDP-&beta;-L-4-epi-vancosamine biosynthesis|g__Methylobacterium.s__Methylobacterium_extorquens	6.9887436451
PWY-7440: dTDP-&beta;-L-4-epi-vancosamine biosynthesis|g__Corynebacterium.s__Corynebacterium_pseudogenitalium	6.4553291895
PWY-7440: dTDP-&beta;-L-4-epi-vancosamine biosynthesis|g__Acinetobacter.s__Acinetobacter_pittii_calcoaceticus_nosocomialis	5.5755991389
PWY-7440: dTDP-&beta;-L-4-epi-vancosamine biosynthesis|g__Corynebacterium.s__Corynebacterium_tuberculostearicum	5.5544998787
PWY-7440: dTDP-&beta;-L-4-epi-vancosamine biosynthesis|g__Pseudomonas.s__Pseudomonas_putida	5.1205879089
PWY-7440: dTDP-&beta;-L-4-epi-vancosamine biosynthesis|g__Acinetobacter.s__Acinetobacter_johnsonii	3.6059804702
PWY-7440: dTDP-&beta;-L-4-epi-vancosamine biosynthesis|g__Collinsella.s__Collinsella_aerofaciens	3.2679738562
PWY-7440: dTDP-&beta;-L-4-epi-vancosamine biosynthesis|g__Staphylococcus.s__Staphylococcus_caprae_capitis	3.2327586207
PWY-7440: dTDP-&beta;-L-4-epi-vancosamine biosynthesis|g__Gardnerella.s__Gardnerella_vaginalis	2.8448840361
PWY-7440: dTDP-&beta;-L-4-epi-vancosamine biosynthesis|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	2.6315789474
PWY-7440: dTDP-&beta;-L-4-epi-vancosamine biosynthesis|g__Stenotrophomonas.s__Stenotrophomonas_maltophilia	2.3737035429
PWY-7440: dTDP-&beta;-L-4-epi-vancosamine biosynthesis|g__Corynebacterium.s__Corynebacterium_amycolatum	1.7648767008
PWY-7440: dTDP-&beta;-L-4-epi-vancosamine biosynthesis|g__Methyloversatilis.s__Methyloversatilis_universalis	1.5666704052
PWY-7440: dTDP-&beta;-L-4-epi-vancosamine biosynthesis|g__Methylobacterium.s__Methylobacterium_populi	1.5576323988
PWY-7440: dTDP-&beta;-L-4-epi-vancosamine biosynthesis|g__Eubacterium.s__Eubacterium_rectale	1.5563904495
PWY-7440: dTDP-&beta;-L-4-epi-vancosamine biosynthesis|g__Staphylococcus.s__Staphylococcus_lugdunensis	1.4607730883
PWY-7440: dTDP-&beta;-L-4-epi-vancosamine biosynthesis|g__Peptoniphilus.s__Peptoniphilus_lacrimalis	1.2894906512
PWY-7440: dTDP-&beta;-L-4-epi-vancosamine biosynthesis|g__Kocuria.s__Kocuria_rhizophila	1.2308914225
PWY-7440: dTDP-&beta;-L-4-epi-vancosamine biosynthesis|g__Blautia.s__Ruminococcus_torques	0.9350163628
PWY-7440: dTDP-&beta;-L-4-epi-vancosamine biosynthesis|g__Corynebacterium.s__Corynebacterium_kroppenstedtii	0.9009009009
PWY-7440: dTDP-&beta;-L-4-epi-vancosamine biosynthesis|g__Porphyromonas.s__Porphyromonas_asaccharolytica	0.7733952049
PWY-7184: pyrimidine deoxyribonucleotides de novo biosynthesis I	208.3217152263
PWY-7184: pyrimidine deoxyribonucleotides de novo biosynthesis I|unclassified	39.5816716414
PWY-7184: pyrimidine deoxyribonucleotides de novo biosynthesis I|g__Corynebacterium.s__Corynebacterium_pseudogenitalium	12.3794012998
PWY-7184: pyrimidine deoxyribonucleotides de novo biosynthesis I|g__Propionibacterium.s__Propionibacterium_acnes	11.2015136196
PWY-7184: pyrimidine deoxyribonucleotides de novo biosynthesis I|g__Corynebacterium.s__Corynebacterium_amycolatum	10.5935724930
PWY-7184: pyrimidine deoxyribonucleotides de novo biosynthesis I|g__Corynebacterium.s__Corynebacterium_aurimucosum	8.9869919439
PWY-7184: pyrimidine deoxyribonucleotides de novo biosynthesis I|g__Methylobacterium.s__Methylobacterium_extorquens	6.4859880487
PWY-7184: pyrimidine deoxyribonucleotides de novo biosynthesis I|g__Gordonia.s__Gordonia_otitidis	6.3818471902
PWY-7184: pyrimidine deoxyribonucleotides de novo biosynthesis I|g__Staphylococcus.s__Staphylococcus_epidermidis	5.3912507702
PWY-7184: pyrimidine deoxyribonucleotides de novo biosynthesis I|g__Stenotrophomonas.s__Stenotrophomonas_maltophilia	4.1300161074
PWY-7184: pyrimidine deoxyribonucleotides de novo biosynthesis I|g__Corynebacterium.s__Corynebacterium_tuberculostearicum	3.9611035422
PWY-7184: pyrimidine deoxyribonucleotides de novo biosynthesis I|g__Pseudomonas.s__Pseudomonas_putida	2.6041666667
PWY-7184: pyrimidine deoxyribonucleotides de novo biosynthesis I|g__Enhydrobacter.s__Enhydrobacter_aerosaccus	2.4192302375
PWY-6974: dTDP-L-olivose biosynthesis	191.7718414794
PWY-6974: dTDP-L-olivose biosynthesis|unclassified	77.1193447221
PWY-6974: dTDP-L-olivose biosynthesis|g__Enhydrobacter.s__Enhydrobacter_aerosaccus	17.1126697402
PWY-6974: dTDP-L-olivose biosynthesis|g__Staphylococcus.s__Staphylococcus_epidermidis	15.1976510250
PWY-6974: dTDP-L-olivose biosynthesis|g__Staphylococcus.s__Staphylococcus_hominis	11.5997391294
PWY-6974: dTDP-L-olivose biosynthesis|g__Propionibacterium.s__Propionibacterium_acnes	11.5178414093
PWY-6974: dTDP-L-olivose biosynthesis|g__Methylobacterium.s__Methylobacterium_extorquens	6.9887436451
PWY-6974: dTDP-L-olivose biosynthesis|g__Gordonia.s__Gordonia_otitidis	6.5712003217
PWY-6974: dTDP-L-olivose biosynthesis|g__Acinetobacter.s__Acinetobacter_pittii_calcoaceticus_nosocomialis	5.4684871417
PWY-6974: dTDP-L-olivose biosynthesis|g__Corynebacterium.s__Corynebacterium_pseudogenitalium	5.3044009146
PWY-6974: dTDP-L-olivose biosynthesis|g__Corynebacterium.s__Corynebacterium_tuberculostearicum	4.6572953174
PWY-6974: dTDP-L-olivose biosynthesis|g__Pseudomonas.s__Pseudomonas_putida	4.2119144503
PWY-6974: dTDP-L-olivose biosynthesis|g__Acinetobacter.s__Acinetobacter_johnsonii	3.6059804702
PWY-6974: dTDP-L-olivose biosynthesis|g__Collinsella.s__Collinsella_aerofaciens	3.2679738562
PWY-6974: dTDP-L-olivose biosynthesis|g__Staphylococcus.s__Staphylococcus_caprae_capitis	3.2327586207
PWY-6974: dTDP-L-olivose biosynthesis|g__Gardnerella.s__Gardnerella_vaginalis	2.5962727233
PWY-6974: dTDP-L-olivose biosynthesis|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	2.4630541872
PWY-6974: dTDP-L-olivose biosynthesis|g__Stenotrophomonas.s__Stenotrophomonas_maltophilia	2.3737035429
PWY-6974: dTDP-L-olivose biosynthesis|g__Methyloversatilis.s__Methyloversatilis_universalis	1.5666704052
PWY-6974: dTDP-L-olivose biosynthesis|g__Methylobacterium.s__Methylobacterium_populi	1.4847809948
PWY-6974: dTDP-L-olivose biosynthesis|g__Corynebacterium.s__Corynebacterium_amycolatum	1.4464390132
PWY-6974: dTDP-L-olivose biosynthesis|g__Kocuria.s__Kocuria_rhizophila	1.2308914225
PWY-6974: dTDP-L-olivose biosynthesis|g__Eubacterium.s__Eubacterium_rectale	1.1958996078
PWY-6974: dTDP-L-olivose biosynthesis|g__Staphylococcus.s__Staphylococcus_lugdunensis	0.9606147935
PWY-6974: dTDP-L-olivose biosynthesis|g__Corynebacterium.s__Corynebacterium_kroppenstedtii	0.9009009009
PWY-6974: dTDP-L-olivose biosynthesis|g__Blautia.s__Ruminococcus_torques	0.8460236887
PWY-6974: dTDP-L-olivose biosynthesis|g__Peptoniphilus.s__Peptoniphilus_lacrimalis	0.8438818565
PWY-6974: dTDP-L-olivose biosynthesis|g__Porphyromonas.s__Porphyromonas_asaccharolytica	0.7733952049
PWY-7198: pyrimidine deoxyribonucleotides de novo biosynthesis IV	178.6405593414
PWY-7198: pyrimidine deoxyribonucleotides de novo biosynthesis IV|unclassified	35.5420110662
PWY-7198: pyrimidine deoxyribonucleotides de novo biosynthesis IV|g__Corynebacterium.s__Corynebacterium_pseudogenitalium	11.4822582195
PWY-7198: pyrimidine deoxyribonucleotides de novo biosynthesis IV|g__Propionibacterium.s__Propionibacterium_acnes	11.1421432161
PWY-7198: pyrimidine deoxyribonucleotides de novo biosynthesis IV|g__Corynebacterium.s__Corynebacterium_amycolatum	9.9314231662
PWY-7198: pyrimidine deoxyribonucleotides de novo biosynthesis IV|g__Corynebacterium.s__Corynebacterium_aurimucosum	8.5412448396
PWY-7198: pyrimidine deoxyribonucleotides de novo biosynthesis IV|g__Methylobacterium.s__Methylobacterium_extorquens	6.0243461263
PWY-7198: pyrimidine deoxyribonucleotides de novo biosynthesis IV|g__Gordonia.s__Gordonia_otitidis	5.5572707626
PWY-7198: pyrimidine deoxyribonucleotides de novo biosynthesis IV|g__Staphylococcus.s__Staphylococcus_epidermidis	5.1451672179
PWY-7198: pyrimidine deoxyribonucleotides de novo biosynthesis IV|g__Stenotrophomonas.s__Stenotrophomonas_maltophilia	4.1300161074
PWY-7198: pyrimidine deoxyribonucleotides de novo biosynthesis IV|g__Corynebacterium.s__Corynebacterium_tuberculostearicum	3.6713080576
PWY-7198: pyrimidine deoxyribonucleotides de novo biosynthesis IV|g__Pseudomonas.s__Pseudomonas_putida	2.3432923257
PWY-7198: pyrimidine deoxyribonucleotides de novo biosynthesis IV|g__Enhydrobacter.s__Enhydrobacter_aerosaccus	2.2185333667
PWY-5972: stearate biosynthesis I (animals)	172.3558430213
PWY-5972: stearate biosynthesis I (animals)|unclassified	59.2422287296
PWY-5972: stearate biosynthesis I (animals)|g__Lactobacillus.s__Lactobacillus_crispatus	17.1428571429
PWY-5972: stearate biosynthesis I (animals)|g__Staphylococcus.s__Staphylococcus_epidermidis	14.9149774294
PWY-5972: stearate biosynthesis I (animals)|g__Pseudomonas.s__Pseudomonas_putida	9.3133200379
PWY-5972: stearate biosynthesis I (animals)|g__Staphylococcus.s__Staphylococcus_hominis	7.5510615202
PWY-5972: stearate biosynthesis I (animals)|g__Staphylococcus.s__Staphylococcus_caprae_capitis	6.6286242474
PWY-5972: stearate biosynthesis I (animals)|g__Gordonia.s__Gordonia_otitidis	6.1267891131
PWY-5972: stearate biosynthesis I (animals)|g__Methylobacterium.s__Methylobacterium_extorquens	5.8271464020
PWY-5972: stearate biosynthesis I (animals)|g__Corynebacterium.s__Corynebacterium_pseudogenitalium	5.8058164622
PWY-5972: stearate biosynthesis I (animals)|g__Enhydrobacter.s__Enhydrobacter_aerosaccus	4.3342933343
PWY-5972: stearate biosynthesis I (animals)|g__Corynebacterium.s__Corynebacterium_tuberculostearicum	4.1349720493
PWY-5972: stearate biosynthesis I (animals)|g__Corynebacterium.s__Corynebacterium_amycolatum	4.0453074434
PWY-5972: stearate biosynthesis I (animals)|g__Acinetobacter.s__Acinetobacter_pittii_calcoaceticus_nosocomialis	4.0082082930
PWY-5972: stearate biosynthesis I (animals)|g__Staphylococcus.s__Staphylococcus_lugdunensis	3.1525076634
PWY-5972: stearate biosynthesis I (animals)|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	2.9965664221
PWY-5972: stearate biosynthesis I (animals)|g__Bacteroides.s__Bacteroides_thetaiotaomicron	2.8818443804
PWY-5972: stearate biosynthesis I (animals)|g__Acinetobacter.s__Acinetobacter_johnsonii	2.4651274229
PWY-5972: stearate biosynthesis I (animals)|g__Corynebacterium.s__Corynebacterium_aurimucosum	2.2148394241
PWY-5972: stearate biosynthesis I (animals)|g__Corynebacterium.s__Corynebacterium_kroppenstedtii	1.9258572099
PWY-5972: stearate biosynthesis I (animals)|g__Bacteroides.s__Bacteroides_vulgatus	1.9212295869
PWY-5972: stearate biosynthesis I (animals)|g__Blautia.s__Ruminococcus_torques	1.5661554035
PWY-5972: stearate biosynthesis I (animals)|g__Methyloversatilis.s__Methyloversatilis_universalis	1.5358238498
PWY-5972: stearate biosynthesis I (animals)|g__Methylobacterium.s__Methylobacterium_populi	1.0638998780
PWY-5972: stearate biosynthesis I (animals)|g__Prevotella.s__Prevotella_bivia	0.9606147935
PWY-5972: stearate biosynthesis I (animals)|g__Prevotella.s__Prevotella_timonensis	0.9285051068
PWY-5972: stearate biosynthesis I (animals)|g__Facklamia.s__Facklamia_ignava	0.8417508418
PWY-5972: stearate biosynthesis I (animals)|g__Corynebacterium.s__Corynebacterium_jeikeium	0.8130081301
PWY-5972: stearate biosynthesis I (animals)|g__Peptoniphilus.s__Peptoniphilus_duerdenii	0.4768717215
PWY-5972: stearate biosynthesis I (animals)|g__Bacteroides.s__Bacteroides_massiliensis	0.4486316734
PWY-5972: stearate biosynthesis I (animals)|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0.3472222222
PWY-5139: pelargonidin conjugates biosynthesis	156.5099459122
PWY-5139: pelargonidin conjugates biosynthesis|unclassified	48.0936008051
PWY-5139: pelargonidin conjugates biosynthesis|g__Staphylococcus.s__Staphylococcus_epidermidis	14.6426271784
PWY-5139: pelargonidin conjugates biosynthesis|g__Corynebacterium.s__Corynebacterium_pseudogenitalium	11.0067582264
PWY-5139: pelargonidin conjugates biosynthesis|g__Pseudomonas.s__Pseudomonas_putida	9.3133200379
PWY-5139: pelargonidin conjugates biosynthesis|g__Staphylococcus.s__Staphylococcus_caprae_capitis	6.6286242474
PWY-5139: pelargonidin conjugates biosynthesis|g__Gordonia.s__Gordonia_otitidis	4.3670546223
PWY-5139: pelargonidin conjugates biosynthesis|g__Corynebacterium.s__Corynebacterium_amycolatum	4.1356492969
PWY-5139: pelargonidin conjugates biosynthesis|g__Corynebacterium.s__Corynebacterium_tuberculostearicum	3.7179930616
PWY-5139: pelargonidin conjugates biosynthesis|g__Acinetobacter.s__Acinetobacter_pittii_calcoaceticus_nosocomialis	3.2051282051
PWY-5139: pelargonidin conjugates biosynthesis|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	2.8310469487
PWY-5139: pelargonidin conjugates biosynthesis|g__Corynebacterium.s__Corynebacterium_aurimucosum	2.7452230377
PWY-5139: pelargonidin conjugates biosynthesis|g__Corynebacterium.s__Corynebacterium_jeikeium	0.8130081301
PWY-7318: dTDP-3-acetamido-3,6-dideoxy-&alpha;-D-glucose biosynthesis	156.5099459122
PWY-7318: dTDP-3-acetamido-3,6-dideoxy-&alpha;-D-glucose biosynthesis|unclassified	48.0936008051
PWY-7318: dTDP-3-acetamido-3,6-dideoxy-&alpha;-D-glucose biosynthesis|g__Pseudomonas.s__Pseudomonas_putida	9.3133200379
PWY-7318: dTDP-3-acetamido-3,6-dideoxy-&alpha;-D-glucose biosynthesis|g__Methylobacterium.s__Methylobacterium_extorquens	7.1603193555
PWY-7318: dTDP-3-acetamido-3,6-dideoxy-&alpha;-D-glucose biosynthesis|g__Corynebacterium.s__Corynebacterium_amycolatum	4.0453074434
PWY-7318: dTDP-3-acetamido-3,6-dideoxy-&alpha;-D-glucose biosynthesis|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0.7129774627
PWY-7210: pyrimidine deoxyribonucleotides biosynthesis from CTP	147.5118445465
PWY-7210: pyrimidine deoxyribonucleotides biosynthesis from CTP|unclassified	41.2820950253
PWY-7210: pyrimidine deoxyribonucleotides biosynthesis from CTP|g__Propionibacterium.s__Propionibacterium_acnes	21.1529057587
PWY-7210: pyrimidine deoxyribonucleotides biosynthesis from CTP|g__Corynebacterium.s__Corynebacterium_pseudogenitalium	14.6721606405
PWY-7210: pyrimidine deoxyribonucleotides biosynthesis from CTP|g__Methylobacterium.s__Methylobacterium_extorquens	9.3527786528
PWY-7210: pyrimidine deoxyribonucleotides biosynthesis from CTP|g__Staphylococcus.s__Staphylococcus_epidermidis	6.6666666667
PWY-7210: pyrimidine deoxyribonucleotides biosynthesis from CTP|g__Corynebacterium.s__Corynebacterium_tuberculostearicum	5.5519434778
PWY-7210: pyrimidine deoxyribonucleotides biosynthesis from CTP|g__Pseudomonas.s__Pseudomonas_putida	4.6948356808
