# Pathway	A4.humann2_Abundance
PWY-7104: dTDP-L-megosamine biosynthesis	848.1472560589
PWY-7104: dTDP-L-megosamine biosynthesis|g__Propionibacterium.s__Propionibacterium_acnes	287.3531663558
PWY-7104: dTDP-L-megosamine biosynthesis|unclassified	122.5732123154
PWY-7104: dTDP-L-megosamine biosynthesis|g__Pseudomonas.s__Pseudomonas_psychrotolerans	17.4419757200
PWY-7104: dTDP-L-megosamine biosynthesis|g__Streptococcus.s__Streptococcus_sanguinis	16.1654651355
PWY-7104: dTDP-L-megosamine biosynthesis|g__Streptococcus.s__Streptococcus_parasanguinis	11.1997454934
PWY-7104: dTDP-L-megosamine biosynthesis|g__Streptococcus.s__Streptococcus_salivarius	10.7641646569
PWY-7104: dTDP-L-megosamine biosynthesis|g__Enterobacter.s__Enterobacter_cloacae	6.8368870578
PWY-7104: dTDP-L-megosamine biosynthesis|g__Kocuria.s__Kocuria_rhizophila	3.6600557138
PWY-7104: dTDP-L-megosamine biosynthesis|g__Pseudomonas.s__Pseudomonas_fragi	3.5563904365
PWY-7104: dTDP-L-megosamine biosynthesis|g__Streptococcus.s__Streptococcus_gordonii	1.4186011767
PWY-7104: dTDP-L-megosamine biosynthesis|g__Rothia.s__Rothia_dentocariosa	1.3774104683
PWY-7440: dTDP-&beta;-L-4-epi-vancosamine biosynthesis	848.1472560589
PWY-7440: dTDP-&beta;-L-4-epi-vancosamine biosynthesis|g__Propionibacterium.s__Propionibacterium_acnes	287.3531663558
PWY-7440: dTDP-&beta;-L-4-epi-vancosamine biosynthesis|unclassified	122.5732123154
PWY-7440: dTDP-&beta;-L-4-epi-vancosamine biosynthesis|g__Staphylococcus.s__Staphylococcus_epidermidis	34.5425615888
PWY-7440: dTDP-&beta;-L-4-epi-vancosamine biosynthesis|g__Staphylococcus.s__Staphylococcus_hominis	22.6975848208
PWY-7440: dTDP-&beta;-L-4-epi-vancosamine biosynthesis|g__Haemophilus.s__Haemophilus_parainfluenzae	22.3597329610
PWY-7440: dTDP-&beta;-L-4-epi-vancosamine biosynthesis|g__Enhydrobacter.s__Enhydrobacter_aerosaccus	21.5605768165
PWY-7440: dTDP-&beta;-L-4-epi-vancosamine biosynthesis|g__Pseudomonas.s__Pseudomonas_psychrotolerans	17.4419757200
PWY-7440: dTDP-&beta;-L-4-epi-vancosamine biosynthesis|g__Lactococcus.s__Lactococcus_lactis	17.2762560822
PWY-7440: dTDP-&beta;-L-4-epi-vancosamine biosynthesis|g__Streptococcus.s__Streptococcus_sanguinis	16.1654651355
PWY-7440: dTDP-&beta;-L-4-epi-vancosamine biosynthesis|g__Corynebacterium.s__Corynebacterium_pseudogenitalium	14.6265922290
PWY-7440: dTDP-&beta;-L-4-epi-vancosamine biosynthesis|g__Corynebacterium.s__Corynebacterium_tuberculostearicum	13.3391366667
PWY-7440: dTDP-&beta;-L-4-epi-vancosamine biosynthesis|g__Streptococcus.s__Streptococcus_parasanguinis	11.1997454934
PWY-7440: dTDP-&beta;-L-4-epi-vancosamine biosynthesis|g__Streptococcus.s__Streptococcus_salivarius	10.7641646569
PWY-7440: dTDP-&beta;-L-4-epi-vancosamine biosynthesis|g__Haemophilus.s__Haemophilus_influenzae	9.0013400177
PWY-7440: dTDP-&beta;-L-4-epi-vancosamine biosynthesis|g__Escherichia.s__Escherichia_coli	7.1425473223
PWY-7440: dTDP-&beta;-L-4-epi-vancosamine biosynthesis|g__Enterobacter.s__Enterobacter_cloacae	6.8368870578
PWY-7440: dTDP-&beta;-L-4-epi-vancosamine biosynthesis|g__Neisseria.s__Neisseria_sicca	6.1357580275
PWY-7440: dTDP-&beta;-L-4-epi-vancosamine biosynthesis|g__Haemophilus.s__Haemophilus_haemolyticus	5.5380819956
PWY-7440: dTDP-&beta;-L-4-epi-vancosamine biosynthesis|g__Acinetobacter.s__Acinetobacter_radioresistens	5.3932638838
PWY-7440: dTDP-&beta;-L-4-epi-vancosamine biosynthesis|g__Acinetobacter.s__Acinetobacter_ursingii	5.3601164953
PWY-7440: dTDP-&beta;-L-4-epi-vancosamine biosynthesis|g__Staphylococcus.s__Staphylococcus_haemolyticus	4.3478846969
PWY-7440: dTDP-&beta;-L-4-epi-vancosamine biosynthesis|g__Rhodopseudomonas.s__Rhodopseudomonas_palustris	4.1268273766
PWY-7440: dTDP-&beta;-L-4-epi-vancosamine biosynthesis|g__Neisseria.s__Neisseria_meningitidis	4.0730714030
PWY-7440: dTDP-&beta;-L-4-epi-vancosamine biosynthesis|g__Micrococcus.s__Micrococcus_luteus	3.8592281955
PWY-7440: dTDP-&beta;-L-4-epi-vancosamine biosynthesis|g__Kocuria.s__Kocuria_rhizophila	3.6600557138
PWY-7440: dTDP-&beta;-L-4-epi-vancosamine biosynthesis|g__Rothia.s__Rothia_mucilaginosa	3.5647801062
PWY-7440: dTDP-&beta;-L-4-epi-vancosamine biosynthesis|g__Pseudomonas.s__Pseudomonas_fragi	3.5563904365
PWY-7440: dTDP-&beta;-L-4-epi-vancosamine biosynthesis|g__Haemophilus.s__Haemophilus_paraphrohaemolyticus	3.4314135107
PWY-7440: dTDP-&beta;-L-4-epi-vancosamine biosynthesis|g__Veillonella.s__Veillonella_atypica	3.3980218017
PWY-7440: dTDP-&beta;-L-4-epi-vancosamine biosynthesis|g__Staphylococcus.s__Staphylococcus_warneri	2.8706459784
PWY-7440: dTDP-&beta;-L-4-epi-vancosamine biosynthesis|g__Veillonella.s__Veillonella_parvula	2.4891773435
PWY-7440: dTDP-&beta;-L-4-epi-vancosamine biosynthesis|g__Malassezia.s__Malassezia_globosa	2.4532921466
PWY-7440: dTDP-&beta;-L-4-epi-vancosamine biosynthesis|g__Staphylococcus.s__Staphylococcus_caprae_capitis	2.2988505747
PWY-7440: dTDP-&beta;-L-4-epi-vancosamine biosynthesis|g__Corynebacterium.s__Corynebacterium_matruchotii	1.9812298797
PWY-7440: dTDP-&beta;-L-4-epi-vancosamine biosynthesis|g__Lautropia.s__Lautropia_mirabilis	1.9261662375
PWY-7440: dTDP-&beta;-L-4-epi-vancosamine biosynthesis|g__Corynebacterium.s__Corynebacterium_accolens	1.7713908077
PWY-7440: dTDP-&beta;-L-4-epi-vancosamine biosynthesis|g__Veillonella.s__Veillonella_dispar	1.7433663731
PWY-7440: dTDP-&beta;-L-4-epi-vancosamine biosynthesis|g__Streptococcus.s__Streptococcus_gordonii	1.4186011767
PWY-7440: dTDP-&beta;-L-4-epi-vancosamine biosynthesis|g__Rothia.s__Rothia_dentocariosa	1.3774104683
PWY-7440: dTDP-&beta;-L-4-epi-vancosamine biosynthesis|g__Granulicatella.s__Granulicatella_elegans	1.3440860215
PWY-6974: dTDP-L-olivose biosynthesis	619.4698451308
PWY-6974: dTDP-L-olivose biosynthesis|g__Propionibacterium.s__Propionibacterium_acnes	275.4217395464
PWY-6974: dTDP-L-olivose biosynthesis|unclassified	91.1867412398
PWY-6974: dTDP-L-olivose biosynthesis|g__Staphylococcus.s__Staphylococcus_epidermidis	34.5425615888
PWY-6974: dTDP-L-olivose biosynthesis|g__Staphylococcus.s__Staphylococcus_hominis	20.8309332937
PWY-6974: dTDP-L-olivose biosynthesis|g__Lactococcus.s__Lactococcus_lactis	17.2762560822
PWY-6974: dTDP-L-olivose biosynthesis|g__Enhydrobacter.s__Enhydrobacter_aerosaccus	16.7852349072
PWY-6974: dTDP-L-olivose biosynthesis|g__Pseudomonas.s__Pseudomonas_psychrotolerans	16.6041763842
PWY-6974: dTDP-L-olivose biosynthesis|g__Haemophilus.s__Haemophilus_parainfluenzae	13.9214954843
PWY-6974: dTDP-L-olivose biosynthesis|g__Streptococcus.s__Streptococcus_sanguinis	12.6428974512
PWY-6974: dTDP-L-olivose biosynthesis|g__Corynebacterium.s__Corynebacterium_pseudogenitalium	11.4111285699
PWY-6974: dTDP-L-olivose biosynthesis|g__Streptococcus.s__Streptococcus_parasanguinis	10.0608070896
PWY-6974: dTDP-L-olivose biosynthesis|g__Corynebacterium.s__Corynebacterium_tuberculostearicum	9.5565111405
PWY-6974: dTDP-L-olivose biosynthesis|g__Escherichia.s__Escherichia_coli	7.1425473223
PWY-6974: dTDP-L-olivose biosynthesis|g__Streptococcus.s__Streptococcus_salivarius	6.8774910105
PWY-6974: dTDP-L-olivose biosynthesis|g__Haemophilus.s__Haemophilus_influenzae	5.7843916193
PWY-6974: dTDP-L-olivose biosynthesis|g__Neisseria.s__Neisseria_sicca	5.7227010617
PWY-6974: dTDP-L-olivose biosynthesis|g__Enterobacter.s__Enterobacter_cloacae	5.6822508711
PWY-6974: dTDP-L-olivose biosynthesis|g__Acinetobacter.s__Acinetobacter_radioresistens	5.3932638838
PWY-6974: dTDP-L-olivose biosynthesis|g__Acinetobacter.s__Acinetobacter_ursingii	5.3601164953
PWY-6974: dTDP-L-olivose biosynthesis|g__Haemophilus.s__Haemophilus_haemolyticus	4.5758197529
PWY-6974: dTDP-L-olivose biosynthesis|g__Rhodopseudomonas.s__Rhodopseudomonas_palustris	4.1268273766
PWY-6974: dTDP-L-olivose biosynthesis|g__Neisseria.s__Neisseria_meningitidis	4.0730714030
PWY-6974: dTDP-L-olivose biosynthesis|g__Staphylococcus.s__Staphylococcus_haemolyticus	4.0210139870
PWY-6974: dTDP-L-olivose biosynthesis|g__Micrococcus.s__Micrococcus_luteus	3.8592281955
PWY-6974: dTDP-L-olivose biosynthesis|g__Rothia.s__Rothia_mucilaginosa	3.5647801062
PWY-6974: dTDP-L-olivose biosynthesis|g__Veillonella.s__Veillonella_atypica	3.3980218017
PWY-6974: dTDP-L-olivose biosynthesis|g__Kocuria.s__Kocuria_rhizophila	3.1386247456
PWY-6974: dTDP-L-olivose biosynthesis|g__Pseudomonas.s__Pseudomonas_fragi	2.6041666667
PWY-6974: dTDP-L-olivose biosynthesis|g__Veillonella.s__Veillonella_parvula	2.4891773435
PWY-6974: dTDP-L-olivose biosynthesis|g__Staphylococcus.s__Staphylococcus_caprae_capitis	2.2988505747
PWY-6974: dTDP-L-olivose biosynthesis|g__Haemophilus.s__Haemophilus_paraphrohaemolyticus	1.9363941872
PWY-6974: dTDP-L-olivose biosynthesis|g__Staphylococcus.s__Staphylococcus_warneri	1.8704763667
PWY-6974: dTDP-L-olivose biosynthesis|g__Veillonella.s__Veillonella_dispar	1.7433663731
PWY-6974: dTDP-L-olivose biosynthesis|g__Malassezia.s__Malassezia_globosa	1.7226528854
PWY-6974: dTDP-L-olivose biosynthesis|g__Lautropia.s__Lautropia_mirabilis	1.6481252575
PWY-6974: dTDP-L-olivose biosynthesis|g__Corynebacterium.s__Corynebacterium_matruchotii	1.2345679012
PWY-6974: dTDP-L-olivose biosynthesis|g__Rothia.s__Rothia_dentocariosa	1.2210012210
PWY-6974: dTDP-L-olivose biosynthesis|g__Streptococcus.s__Streptococcus_gordonii	1.1241005555
PWY-6974: dTDP-L-olivose biosynthesis|g__Corynebacterium.s__Corynebacterium_accolens	0.9496676163
PWY-6974: dTDP-L-olivose biosynthesis|g__Granulicatella.s__Granulicatella_elegans	0.8481764207
PWY-7210: pyrimidine deoxyribonucleotides biosynthesis from CTP	567.5746849502
PWY-7210: pyrimidine deoxyribonucleotides biosynthesis from CTP|g__Propionibacterium.s__Propionibacterium_acnes	357.0869815345
PWY-7210: pyrimidine deoxyribonucleotides biosynthesis from CTP|unclassified	99.3902400435
PWY-7210: pyrimidine deoxyribonucleotides biosynthesis from CTP|g__Corynebacterium.s__Corynebacterium_pseudogenitalium	18.0185206376
PWY-7210: pyrimidine deoxyribonucleotides biosynthesis from CTP|g__Corynebacterium.s__Corynebacterium_jeikeium	10.7143672743
PWY-7210: pyrimidine deoxyribonucleotides biosynthesis from CTP|g__Enhydrobacter.s__Enhydrobacter_aerosaccus	10.2838347290
PWY-7210: pyrimidine deoxyribonucleotides biosynthesis from CTP|g__Haemophilus.s__Haemophilus_parainfluenzae	10.2093526649
PWY-7210: pyrimidine deoxyribonucleotides biosynthesis from CTP|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	9.7115678059
PWY-7210: pyrimidine deoxyribonucleotides biosynthesis from CTP|g__Micrococcus.s__Micrococcus_luteus	8.9435928336
PWY-7210: pyrimidine deoxyribonucleotides biosynthesis from CTP|g__Actinomyces.s__Actinomyces_viscosus	7.8289004694
PWY-7210: pyrimidine deoxyribonucleotides biosynthesis from CTP|g__Haemophilus.s__Haemophilus_influenzae	7.0422535211
PWY-7210: pyrimidine deoxyribonucleotides biosynthesis from CTP|g__Corynebacterium.s__Corynebacterium_tuberculostearicum	6.7314694305
PWY-7210: pyrimidine deoxyribonucleotides biosynthesis from CTP|g__Neisseria.s__Neisseria_sicca	6.3965501829
PWY-7210: pyrimidine deoxyribonucleotides biosynthesis from CTP|g__Actinomyces.s__Actinomyces_odontolyticus	3.6960599401
PWY-7210: pyrimidine deoxyribonucleotides biosynthesis from CTP|g__Corynebacterium.s__Corynebacterium_accolens	3.6369222602
PWY-7210: pyrimidine deoxyribonucleotides biosynthesis from CTP|g__Enterobacter.s__Enterobacter_cloacae	3.6363879489
PWY-7210: pyrimidine deoxyribonucleotides biosynthesis from CTP|g__Actinomyces.s__Actinomyces_oris	3.4163769300
PWY-7210: pyrimidine deoxyribonucleotides biosynthesis from CTP|g__Neisseria.s__Neisseria_macacae	2.7547397977
PWY-7210: pyrimidine deoxyribonucleotides biosynthesis from CTP|g__Lautropia.s__Lautropia_mirabilis	2.2160239578
PWY-7184: pyrimidine deoxyribonucleotides de novo biosynthesis I	556.9808037220
